"Old Path","Old URL","New URL","Associated Type","Associated ID"
/shop-for-plants/all-plants/dracaena-draco/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/dracaena-draco/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/dracaena-draco/,Product,115
/shop-for-plants/all-plants/8-ficus-lyrata-fiddle-feaf-fig/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/8-ficus-lyrata-fiddle-feaf-fig/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/8-ficus-lyrata-fiddle-feaf-fig/,Product,114
/shop-for-plants/all-plants/phoenix-roebelenii/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/phoenix-roebelenii/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/phoenix-roebelenii/,Product,113
/shop-for-plants/all-plants/lady-palm-or-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/lady-palm-or-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/lady-palm-or-rhapis-palm/,Product,112
/shop-for-plants/all-plants/pencil-cactus/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/pencil-cactus/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/pencil-cactus/,Product,111
/shop-for-plants/all-plants/cactus-african-milk-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/cactus-african-milk-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/cactus-african-milk-tree/,Product,110
/shop-for-plants/all-plants/cactus-euphorbia-ammak-variegated/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/cactus-euphorbia-ammak-variegated/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/cactus-euphorbia-ammak-variegated/,Product,109
/shop-for-plants/all-plants/cactus-candelabra-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/cactus-candelabra-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/cactus-candelabra-tree/,Product,108
/shop-for-plants/all-plants/song-of-jamaica/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/song-of-jamaica/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/song-of-jamaica/,Product,105
/shop-for-plants/all-plants/hawaiian-lisa-cane/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/hawaiian-lisa-cane/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/hawaiian-lisa-cane/,Product,103
/shop-for-plants/all-plants/ponytail-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/ponytail-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/ponytail-palm/,Product,100
